"V1","V2","V3","V4","V5"
"19890815",1200,-1300,11.9,"YSI"
"19890815",1200,-1200,12.8,"YSI"
"19890815",1200,-1100,14.1,"YSI"
"19890815",1200,-1000,16.4,"YSI"
"19890815",1200,-900,18.5,"YSI"
"19890815",1200,-800,21.9,"YSI"
"19890815",1200,-700,22.2,"YSI"
"19890815",1200,-600,22.3,"YSI"
"19890815",1200,-500,22.3,"YSI"
"19890815",1200,-400,22.3,"YSI"
"19890815",1200,-300,22.4,"YSI"
"19890815",1200,-200,22.4,"YSI"
"19890815",1200,-100,22.5,"YSI"
"19890815",1200,0,22.8,"YSI"
"19890829",1200,-2200,8.6,"YSI"
"19890829",1200,-2100,8.6,"YSI"
"19890829",1200,-2000,8.8,"YSI"
"19890829",1200,-1900,9,"YSI"
"19890829",1200,-1800,9.4,"YSI"
"19890829",1200,-1700,9.7,"YSI"
"19890829",1200,-1600,10.2,"YSI"
"19890829",1200,-1500,10.8,"YSI"
"19890829",1200,-1400,11.6,"YSI"
"19890829",1200,-1300,12.5,"YSI"
"19890829",1200,-1200,13.9,"YSI"
"19890829",1200,-1100,15.2,"YSI"
"19890829",1200,-1000,17.9,"YSI"
"19890829",1200,-900,21.4,"YSI"
"19890829",1200,-800,22.1,"YSI"
"19890829",1200,-700,22.3,"YSI"
"19890829",1200,-600,22.3,"YSI"
"19890829",1200,-500,22.4,"YSI"
"19890829",1200,-400,22.4,"YSI"
"19890829",1200,-300,22.4,"YSI"
"19890829",1200,-200,22.4,"YSI"
"19890829",1200,-100,22.4,"YSI"
"19890829",1200,0,22.3,"YSI"
"19890911",1200,-2200,9,"YSI"
"19890911",1200,-2100,9.1,"YSI"
"19890911",1200,-2000,9.3,"YSI"
"19890911",1200,-1900,9.6,"YSI"
"19890911",1200,-1800,10,"YSI"
"19890911",1200,-1700,10.5,"YSI"
"19890911",1200,-1600,11,"YSI"
"19890911",1200,-1500,11.9,"YSI"
"19890911",1200,-1400,12.7,"YSI"
"19890911",1200,-1300,13.6,"YSI"
"19890911",1200,-1200,14.7,"YSI"
"19890911",1200,-1100,17.1,"YSI"
"19890911",1200,-1000,19.8,"YSI"
"19890911",1200,-900,21.4,"YSI"
"19890911",1200,-800,21.5,"YSI"
"19890911",1200,-700,21.6,"YSI"
"19890911",1200,-600,21.8,"YSI"
"19890911",1200,-500,22,"YSI"
"19890911",1200,-400,22.1,"YSI"
"19890911",1200,-300,22.2,"YSI"
"19890911",1200,-200,22.6,"YSI"
"19890911",1200,-100,23.3,"YSI"
"19890911",1200,0,23.3,"YSI"
"19890925",1200,-2300,8.7,"YSI"
"19890925",1200,-2200,8.6,"YSI"
"19890925",1200,-2100,8.7,"YSI"
"19890925",1200,-2000,9,"YSI"
"19890925",1200,-1900,9.3,"YSI"
"19890925",1200,-1800,9.6,"YSI"
"19890925",1200,-1700,10,"YSI"
"19890925",1200,-1600,10.4,"YSI"
"19890925",1200,-1500,11.3,"YSI"
"19890925",1200,-1400,12,"YSI"
"19890925",1200,-1300,13.2,"YSI"
